"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",315.799988,317,307.339996,313.480011,9925200,313.480011,2018-03-19,"NFLX",NA,NA
"2",313.26001,319.5,312.799988,317.5,5991900,317.5,2018-03-20,"NFLX",0.0128237490715157,0.0128237490715157
"3",316.350006,319.399994,314.51001,316.480011,5263900,316.480011,2018-03-21,"NFLX",-0.00321256377952761,-0.00321256377952761
"4",313.070007,314.119995,305.660004,306.700012,8063300,306.700012,2018-03-22,"NFLX",-0.0309024224597868,-0.0309024224597868
"5",307.410004,309.369995,300.359985,300.940002,9529900,300.940002,2018-03-23,"NFLX",-0.0187805991999767,-0.0187805991999767
"6",309.359985,321.029999,302,320.350006,11988300,320.350006,2018-03-26,"NFLX",0.0644979194224902,0.0644979194224902
"7",322.48999,322.899994,297,300.690002,12068600,300.690002,2018-03-27,"NFLX",-0.0613703874879903,-0.0613703874879903
"8",298.390015,298.799988,281.609985,285.769989,18972900,285.769989,2018-03-28,"NFLX",-0.0496192520561425,-0.0496192520561425
"9",287,295.350006,275.899994,295.350006,19145500,295.350006,2018-03-29,"NFLX",0.0335235237035334,0.0335235237035334
"10",291.940002,292.869995,275.049988,280.290009,13405800,280.290009,2018-04-02,"NFLX",-0.0509903392383882,-0.0509903392383882
"11",285.450012,291.25,278.01001,283.670013,12694900,283.670013,2018-04-03,"NFLX",0.0120589528398067,0.0120589528398067
"12",273.630005,290.309998,271.220001,288.940002,12914000,288.940002,2018-04-04,"NFLX",0.0185778854249217,0.0185778854249217
"13",293.149994,299.160004,289.109985,293.970001,10655200,293.970001,2018-04-05,"NFLX",0.0174084549220708,0.0174084549220708
"14",289.100006,298.850006,285.649994,288.850006,11444800,288.850006,2018-04-06,"NFLX",-0.0174167261373042,-0.0174167261373042
"15",291.769989,299.549988,289.119995,289.929993,9853600,289.929993,2018-04-09,"NFLX",0.00373891977693086,0.00373891977693086
"16",297.679993,298.950012,291.690002,298.070007,10660500,298.070007,2018-04-10,"NFLX",0.0280757913859568,0.0280757913859568
